date,bytes
2020-02-22,924153122530
2020-02-23,1965467061008
2020-02-24,1867608336805
2020-02-25,1779999943858
2020-02-26,1985847458884
2020-02-27,1888468270741
2020-02-28,3475697622991
2020-02-29,4306188573766
2020-03-01,4463740524509
2020-03-02,3896664453855
2020-03-03,3188900946672
2020-03-04,3099312174058
2020-03-05,2022853042498
2020-03-06,1905823807805
2020-03-07,2139030634244
2020-03-08,2146897679808
2020-03-09,2180045390173
2020-03-10,2820683681223
2020-03-11,4420775020422
2020-03-12,4154550578376
2020-03-13,4253514738734
2020-03-14,3174828844103
2020-03-15,4454376997566
2020-03-16,3131598802258
2020-03-17,2288287315208
2020-03-18,2143938089603
2020-03-19,2092742215393
2020-03-20,1974480105065
2020-03-21,2442284188442
2020-03-22,2352355495370
2020-03-23,2459980892250
2020-03-24,2673763143856
2020-03-25,2055162660297
2020-03-26,2628524164559
2020-03-27,2740466069935
2020-03-28,1510988288286
2020-03-29,1122995010794
2020-03-30,1201803081211
2020-03-31,1406952156489
2020-04-01,2137871356117
2020-04-02,2812657464823
2020-04-03,1099113278917
2020-04-04,1378800347476
2020-04-05,979066800524
2020-04-06,1071426424916
2020-04-07,1787932718185
2020-04-08,3851606323129
2020-04-09,3418781266501
2020-04-10,3794822812694
2020-04-11,2979596847554
2020-04-12,2919843063960
2020-04-13,4107579965845
2020-04-14,2303345146529
2020-04-15,1915815823124
2020-04-16,1760760963238
2020-04-17,2985824721735
2020-04-18,2997607579881
2020-04-19,2408403258682
2020-04-20,3961059722455
2020-04-21,3209514329859
2020-04-22,3213376463046
2020-04-23,2536222957402
2020-04-24,2543268862077
2020-04-25,2545828122887
2020-04-26,2284258253789
2020-04-27,2703106733976
2020-04-28,3274846112285
2020-04-29,2805021689000
2020-04-30,4421269788552
2020-05-01,4142965451017
2020-05-02,2491790060655
2020-05-03,2961653119688
2020-05-04,4350330845464
2020-05-05,4967348923193
2020-05-06,2580896218501
2020-05-07,3151781222275
2020-05-08,4050400419170
2020-05-09,4216584953527
2020-05-10,5386640373874
2020-05-11,5391015367919
2020-05-12,5806755733561
2020-05-13,5220936935253
2020-05-14,3832754753985
2020-05-15,7569091247839
2020-05-16,4049811920335
2020-05-17,4119469235661
2020-05-18,3322062855655
2020-05-19,3921526837619
2020-05-20,4236439649647
2020-05-21,4053636684609
2020-05-22,4104890654114
2020-05-23,3585183673425
2020-05-24,3012495179690
2020-05-25,3114696053453
2020-05-26,3223678395091
2020-05-27,4245651282609
2020-05-28,4180979302647
2020-05-29,3480897211010
2020-05-30,3777167569339
2020-05-31,3220673345047
2020-06-01,4778096367040
2020-06-02,3284083028925
2020-06-03,3233976377322
2020-06-04,3462398898021
2020-06-05,2932431177620
2020-06-06,2497175291716
2020-06-07,2539852206826
2020-06-08,2705184946945
2020-06-09,2606765334640
2020-06-10,2445903847516
2020-06-11,2231615387582
2020-06-12,2502593494389
2020-06-13,2333779236293
2020-06-14,2528809703854
2020-06-15,2165678131119
2020-06-16,1622748406338
2020-06-17,1950209123555
2020-06-18,1851140234473
2020-06-19,1177771623974
2020-06-20,2092558012732
2020-06-21,2006651600916
2020-06-22,2033721030842
2020-06-23,1869771021323
2020-06-24,1140986209174
2020-06-25,455231378620
2020-06-26,586597543312
2020-06-27,523616400872
2020-06-28,626631614850
2020-06-29,486118857406
2020-06-30,472989979454
2020-07-01,523848247277
2020-07-02,605888597768
2020-07-03,492446722944
2020-07-04,413694771676
2020-07-05,508911687106
2020-07-06,468217506984
2020-07-07,442098395959
2020-07-08,629247872260
2020-07-09,1508182548782
2020-07-10,2801602633461
2020-07-11,2622039578284
2020-07-12,3314799445094
2020-07-13,3665426014722
2020-07-14,5020004136991
2020-07-15,4172292354314
2020-07-16,3461412663170
2020-07-17,4016496781504
2020-07-18,4320121554481
2020-07-19,4415235283401
2020-07-20,4100427450596
2020-07-21,3333868981335
2020-07-22,6078504755392
2020-07-23,5210337453829
2020-07-24,3859139072024
2020-07-25,5649863971746
2020-07-26,4361750882695
2020-07-27,4165198612148
2020-07-28,3899404750563
2020-07-29,3705361484149
2020-07-30,3551013654921
2020-07-31,3736194963685
2020-08-01,5000393361159
2020-08-02,4156702334662
2020-08-03,2969049366198
2020-08-04,5774294232906
2020-08-05,8123623183125
2020-08-06,4209880220657
2020-08-07,4920350734942
2020-08-08,7744257130138
2020-08-09,5002816706967
2020-08-10,4827659537184
2020-08-11,4104246800913
2020-08-12,3591656820784
2020-08-13,4142052463864
2020-08-14,3561899651188
2020-08-15,3626237885578
2020-08-16,3555990965215
2020-08-17,2417111828005
2020-08-18,3062675456983
2020-08-19,1175814461159
2020-08-20,1278275530575
2020-08-21,1418219139793
2020-08-22,1059703687016
2020-08-23,1004587903651
2020-08-24,1309265333071
2020-08-25,1031641718035
2020-08-26,1166162931109
2020-08-27,1230963890780
2020-08-28,1331905319918
2020-08-29,871940789613
2020-08-30,1240484766642
2020-08-31,1422206552993
2020-09-01,1718609686051
2020-09-02,1190257955601
2020-09-03,1137291805592
2020-09-04,1066141854541
2020-09-05,1155333352469
2020-09-06,775048208689
2020-09-07,1347211885745
2020-09-08,960514500801
2020-09-09,910776342387
2020-09-10,1503424622385
2020-09-11,921861506589
2020-09-12,1179468304360
2020-09-13,884671249684
2020-09-14,951156524768
2020-09-15,841168676854
2020-09-16,909363959338
2020-09-17,948727072788
2020-09-18,1249021817220
2020-09-19,881772015550
2020-09-20,1114893369061
2020-09-21,1155116442590
2020-09-22,733102206194
2020-09-23,884675245252
2020-09-24,796826475110
2020-09-25,862789210330
2020-09-26,793287796243
2020-09-27,774699554588
2020-09-28,752615051008
2020-09-29,854163723445
2020-09-30,993493530248
2020-10-01,2996158678743
2020-10-02,4094658735256
2020-10-03,3324038194515
2020-10-04,1265338857347
2020-10-05,1173738027412
2020-10-06,1290688201982
2020-10-07,1003917210631
2020-10-08,1077044499734
2020-10-09,1090859711121
2020-10-10,943689858349
2020-10-11,823507762642
2020-10-12,901878355051
2020-10-13,1317900684492
2020-10-14,1200674357090
2020-10-15,1465076192742
2020-10-16,951845456459
2020-10-17,1233836737133
2020-10-18,1292992359652
2020-10-19,1354919249008
2020-10-20,1220959118202
2020-10-21,1302724654407
2020-10-22,1272234225962
2020-10-23,1309918158162
2020-10-24,876527752895
2020-10-25,608941390191
2020-10-26,1014353470912
2020-10-27,939757542909
2020-10-28,1129938141062
2020-10-29,1365141793821
2020-10-30,1182292946873
2020-10-31,1682529599015
2020-11-01,3019022453392
2020-11-02,1340256692854
2020-11-03,1393417072530
2020-11-04,1745514774368
2020-11-05,1663541725314
2020-11-06,1940831758215
2020-11-07,1102348664333
2020-11-08,1861309768643
2020-11-09,1505642781703
2020-11-10,1623343622819
2020-11-11,1355504716347
2020-11-12,783204829324
2020-11-13,2749598407792
2020-11-14,1581778555142
2020-11-15,3320979287221
2020-11-16,1671376951738
2020-11-17,1820450274460
2020-11-18,1767091693837
2020-11-19,2032794736168
2020-11-20,2336018293132
2020-11-21,2041882618933
2020-11-22,2172479249529
2020-11-23,1845436394943
2020-11-24,1725219945205
2020-11-25,963768816566
2020-11-26,2984839578645
2020-11-27,1912454095963
2020-11-28,3386504113539
2020-11-29,2712818583618
2020-11-30,2511451007444
2020-12-01,3610821722408
2020-12-02,1514322795465
2020-12-03,1343616652247
2020-12-04,2484787370813
2020-12-05,2488858478619
2020-12-06,3048313033961
2020-12-07,2230298695694
2020-12-08,2095043325544
2020-12-09,2013009482814
2020-12-10,1683430771254
2020-12-11,1818486330754
2020-12-12,2215391290198
2020-12-13,1509428594099
2020-12-14,1565385384604
2020-12-15,1466628905872
2020-12-16,1530491484738
2020-12-17,1478622216890
2020-12-18,1704209456739
2020-12-19,1456138480608
2020-12-20,1737954896709
2020-12-21,1916398162450
2020-12-22,1855797204667
2020-12-23,2544107566924
2020-12-24,1726464040452
2020-12-25,2585978775692
2020-12-26,2374621999987
2020-12-27,2284812382765
2020-12-28,2381814342534
2020-12-29,2886304735997
2020-12-30,4330031825117
2020-12-31,4267845069536
2021-01-01,3603232169850
2021-01-02,2432858839200
2021-01-03,2533561978095
2021-01-04,2820794775832
2021-01-05,3008282690135
2021-01-06,2731887785152
2021-01-07,2313259104722
2021-01-08,2953876369605
2021-01-09,2768420635300
2021-01-10,3358987205207
2021-01-11,3428936384081
2021-01-12,3285224623404
2021-01-13,2903855633975
2021-01-14,2653367080623
2021-01-15,3259676474388
2021-01-16,2934858009920
2021-01-17,2691147741991
2021-01-18,2778543787236
2021-01-19,2882098641738
2021-01-20,2896714973913
2021-01-21,2049516408094
2021-01-22,3185505459781
2021-01-23,3489661699417
2021-01-24,2822596753639
2021-01-25,2809301903811
2021-01-26,2192225552677
2021-01-27,2719890782574
2021-01-28,2639681774689
2021-01-29,2252314660800
2021-01-30,3455073734380
2021-01-31,2832548142851
2021-02-01,3495928217330
2021-02-02,2739041155643
2021-02-03,2600140540636
2021-02-04,3084930199587
2021-02-05,2709506904443
2021-02-06,3069149477800
2021-02-07,4067830440905
2021-02-08,3198378805353
2021-02-09,3586510020160
2021-02-10,2745779993953
2021-02-11,4300595058491
2021-02-12,3517558824875
2021-02-13,2318560228747
2021-02-14,2339539102469
2021-02-15,2318221755780
2021-02-16,2702319604240
2021-02-17,2159721993701
2021-02-18,1569756650657
2021-02-19,2300263881364
2021-02-20,1830457146870
2021-02-21,1588418278418
2021-02-22,1696572613079
2021-02-23,2135466244667
2021-02-24,1979438687857
2021-02-25,1459829737055
2021-02-26,1413683460281
2021-02-27,1541615216864
2021-02-28,1231367256797
2021-03-01,1414325442918
2021-03-02,988676551792
2021-03-03,1646411166525
2021-03-04,968127476116
2021-03-05,958062558276
2021-03-06,664470731796
2021-03-07,2791507871381
2021-03-08,1969115885149
2021-03-09,3855004270356
2021-03-10,2352151817516
2021-03-11,2589868098648
2021-03-12,2426811865767
2021-03-13,2892200730574
2021-03-14,2203898323094
2021-03-15,3719839355615
2021-03-16,4095284355230
2021-03-17,3357941118333
2021-03-18,2552658305493
2021-03-19,2749262244109
2021-03-20,2868348291674
2021-03-21,2139972620552
2021-03-22,3485974002482
2021-03-23,2357947666492
2021-03-24,4112197603505
2021-03-25,4747249014375
2021-03-26,2052897007683
2021-03-27,2840405512706
2021-03-28,2406460078203
2021-03-29,2722976186483
2021-03-30,4928994435702
2021-03-31,4579191621444
2021-04-01,2724492385569
2021-04-02,2843082229338
2021-04-03,3693585032590
2021-04-04,4607683692492
2021-04-05,3007702714374
2021-04-06,3743250400791
2021-04-07,3344397270326
2021-04-08,2914838839448
2021-04-09,2713092200546
2021-04-10,2900705510538
2021-04-11,2726667334109
2021-04-12,2948792211087
2021-04-13,2588994483369
2021-04-14,2477174489048
2021-04-15,2643252303765
2021-04-16,2339053311088
2021-04-17,2553330627615
2021-04-18,2365381405174
2021-04-19,2472727522573
2021-04-20,2660839639433
2021-04-21,2442059345228
2021-04-22,2493383619124
2021-04-23,2089678684271
2021-04-24,1754811249747
2021-04-25,2257611635841
2021-04-26,2926383388466
2021-04-27,3269942645901
2021-04-28,2733465277984
2021-04-29,1981844201679
2021-04-30,2976489104271
2021-05-01,2661390830204
2021-05-02,3184106011581
2021-05-03,2788774572415
2021-05-04,2809432805422
2021-05-05,2673685074428
2021-05-06,2480232928655
2021-05-07,2298122203864
2021-05-08,2526411627188
2021-05-09,2538528344924
2021-05-10,2234836433512
2021-05-11,2650249158118
2021-05-12,2975830196962
2021-05-13,1922461751023
2021-05-14,2400063385616
2021-05-15,2816336727507
2021-05-16,2335997377778
2021-05-17,3150924750416
2021-05-18,2176983292400
2021-05-19,3178929359642
2021-05-20,3138997405093
2021-05-21,2985017664890
2021-05-22,2435081693874
2021-05-23,2237000656496
2021-05-24,2260177482414
2021-05-25,2226005761143
2021-05-26,3045243932421
2021-05-27,1914692019908
2021-05-28,1905996199369
2021-05-29,2146609943998
2021-05-30,1796357798267
2021-05-31,2147087929210
2021-06-01,2313208561086
2021-06-02,2503162513188
2021-06-03,2373290156626
2021-06-04,1836313428519
2021-06-05,2774377558104
2021-06-06,2661968205296
2021-06-07,2286769448978
2021-06-08,2373477575205
2021-06-09,2231739281051
2021-06-10,2279673759821
2021-06-11,2376717411030
2021-06-12,1647917877854
2021-06-13,2215010651174
2021-06-14,2628274806499
2021-06-15,1630939031854
2021-06-16,2328766922870
2021-06-17,2862636697651
2021-06-18,2459347198351
2021-06-19,1021176533858
2021-06-20,3848941922098
2021-06-21,3037747803332
2021-06-22,2530825336160
2021-06-23,3079275155748
2021-06-24,4095287558997
2021-06-25,4032173472734
2021-06-26,3372905796067
2021-06-27,3580140076022
2021-06-28,3490356764484
2021-06-29,3998476489291
2021-06-30,3045075866700
2021-07-01,2663022214744
2021-07-02,2455216411183
2021-07-03,2136394833782
2021-07-04,2480513408061
2021-07-05,1490628339209
2021-07-06,2575585805484
2021-07-07,2325253754661
2021-07-08,1746300814383
2021-07-09,2183982863463
2021-07-10,2509861999734
2021-07-11,2262357492622
2021-07-12,1869921810518
2021-07-13,1447784138098
2021-07-14,1728394344929
2021-07-15,2026414620349
2021-07-16,2820264693678
2021-07-17,2708782874058
2021-07-18,2697348124015
2021-07-19,2070019300974
2021-07-20,3167400679008
2021-07-21,2487933502828
2021-07-22,2325023689636
2021-07-23,2540135884365
2021-07-24,2659228535951
2021-07-25,2288248411787
2021-07-26,3023387396649
2021-07-27,3204553629102
2021-07-28,2100510914518
2021-07-29,2441070120293
2021-07-30,2451865976934
2021-07-31,2790525351177
2021-08-01,2295988620090
2021-08-02,1921859404692
2021-08-03,2533296071103
2021-08-04,2797565703896
2021-08-05,2109944336666
2021-08-06,2563671324322
2021-08-07,1650210279801
2021-08-08,3211533665044
2021-08-09,2517339859719
2021-08-10,3018687109272
2021-08-11,1129172427838
2021-08-12,2362535112101
2021-08-13,2461863711929
2021-08-14,2864144877807
2021-08-15,2410828493882
2021-08-16,2453876206294
2021-08-17,2637544756768
2021-08-18,3498078301480
2021-08-19,3211443858303
2021-08-20,2769786593906
2021-08-21,2379376783982
2021-08-22,2294450232007
2021-08-23,1879182971189
2021-08-24,2668973236831
2021-08-25,3293785011560
2021-08-26,2817785728352
2021-08-27,3184782749071
2021-08-28,2707231800779
2021-08-29,2843940066083
2021-08-30,3184230380417
2021-08-31,2610254844283
2021-09-01,2734780971751
2021-09-02,2516398691607
2021-09-03,2839334730142
2021-09-04,2489725949182
2021-09-05,2107809608113
2021-09-06,1914371203372
2021-09-07,2829760113904
2021-09-08,2520742295228
2021-09-09,2321517627089
2021-09-10,2018228474669
2021-09-11,2355588251816
2021-09-12,2850718230018
2021-09-13,2559109630908
2021-09-14,2989844921262
2021-09-15,3231420187987
2021-09-16,2674135770584
2021-09-17,2144394886975
2021-09-18,2286081000422
2021-09-19,856306376859
2021-09-20,1856143278570
2021-09-21,3144711581730
2021-09-22,2711306474031
2021-09-23,2642823019491
2021-09-24,1834179576598
2021-09-25,2649368464025
2021-09-26,2968712940856
2021-09-27,2158701619343
2021-09-28,2312538512557
2021-09-29,616408232716
2021-09-30,2827649195265
2021-10-01,2685675343924
2021-10-02,2617723449374
2021-10-03,2699867865415
2021-10-04,2606664212853
2021-10-05,11776324259
